,Case 1,Case 2,P-value,Association
sq0002_30550000_30560000,8,0,0.007850313216069148,0.4366480030862637
sq0002_30560000_30570000,10,0,0.0018227351663913953,0.4946847389363815
sq0002_36160000_36170000,9,0,0.003823034358582083,0.4669667243342232
sq0002_40910000_40920000,15,0,2.9930622223033853e-05,0.6061230833151466
sq0003_9310000_9320000,11,0,0.0008486361383012883,0.5202268683827087
sq0003_9960000_9970000,11,0,0.0008486361383012883,0.5202268683827087
sq0003_12710000_12720000,13,0,0.00016962883216848132,0.5659999567638938
sq0003_14300000_14310000,8,0,0.007850313216069148,0.4366480030862637
sq0003_24900000_24910000,5,13,0.04860657067343558,0.3387537429470791
sq0003_28390000_28400000,13,0,0.00016962883216848132,0.5659999567638938
sq0003_28590000_28600000,11,0,0.0008486361383012883,0.5202268683827087
sq0003_29760000_29770000,8,0,0.007850313216069148,0.4366480030862637
sq0003_34720000_34730000,10,0,0.0018227351663913953,0.4946847389363815
sq0003_37600000_37610000,9,0,0.003823034358582083,0.4669667243342232
sq0003_39290000_39300000,10,0,0.0018227351663913953,0.4946847389363815
sq0003_43750000_43760000,7,0,0.015826016947418548,0.4031478844100375
sq0003_46250000_46260000,10,0,0.0018227351663913953,0.4946847389363815
sq0003_49170000_49180000,7,0,0.015826016947418548,0.4031478844100375
sq0003_49730000_49740000,9,0,0.003823034358582083,0.4669667243342232
sq0003_49740000_49750000,8,0,0.007850313216069148,0.4366480030862637
sq0003_49750000_49760000,8,0,0.007850313216069148,0.4366480030862637
sq0003_49880000_49890000,11,0,0.0008486361383012883,0.5202268683827087
sq0003_49890000_49900000,14,0,7.246616608760606e-05,0.5866817871284814
sq0003_49900000_49910000,14,4,0.011229886652916672,0.42008402520840293
sq0003_50040000_50050000,10,0,0.0018227351663913953,0.4946847389363815
sq0003_50080000_50090000,6,0,0.03142434652178249,0.36563621206356534
sq0003_58180000_58190000,10,0,0.0018227351663913953,0.4946847389363815
sq0004_12930000_12940000,12,0,0.0003848878012656882,0.5439149940775636
sq0004_21700000_21710000,10,0,0.0018227351663913953,0.4946847389363815
sq0004_23360000_23370000,7,0,0.015826016947418548,0.4031478844100375
sq0004_23700000_23710000,10,0,0.0018227351663913953,0.4946847389363815
sq0004_27570000_27580000,12,0,0.0003848878012656882,0.5439149940775636
sq0004_27580000_27590000,12,0,0.0003848878012656882,0.5439149940775636
sq0004_27590000_27600000,12,0,0.0003848878012656882,0.5439149940775636
sq0004_27610000_27620000,16,0,1.1919419594418901e-05,0.6244581706827199
sq0004_27770000_27780000,7,0,0.015826016947418548,0.4031478844100375
sq0004_27960000_27970000,6,0,0.03142434652178249,0.36563621206356534
sq0004_31130000_31140000,15,0,2.9930622223033853e-05,0.6061230833151466
sq0004_31280000_31290000,14,0,7.246616608760606e-05,0.5866817871284814
sq0004_31290000_31300000,12,0,0.0003848878012656882,0.5439149940775636
sq0004_33010000_33020000,7,0,0.015826016947418548,0.4031478844100375
sq0004_46510000_46520000,11,0,0.0008486361383012883,0.5202268683827087
sq0004_47450000_47460000,8,0,0.007850313216069148,0.4366480030862637
sq0004_50430000_50440000,6,0,0.03142434652178249,0.36563621206356534
sq0004_55010000_55020000,7,0,0.015826016947418548,0.4031478844100375
sq0004_55530000_55540000,7,0,0.015826016947418548,0.4031478844100375
sq0004_58160000_58170000,10,0,0.0018227351663913953,0.4946847389363815
sq0005_6450000_6460000,13,0,0.00016962883216848132,0.5659999567638938
sq0005_6480000_6490000,12,0,0.0003848878012656882,0.5439149940775636
sq0005_10210000_10220000,11,0,0.0008486361383012883,0.5202268683827087
sq0005_14800000_14810000,11,0,0.0008486361383012883,0.5202268683827087
sq0005_28890000_28900000,6,0,0.03142434652178249,0.36563621206356534
sq0005_28950000_28960000,8,0,0.007850313216069148,0.4366480030862637
sq0005_30800000_30810000,7,0,0.015826016947418548,0.4031478844100375
sq0006_6710000_6720000,6,0,0.03142434652178249,0.36563621206356534
sq0006_6760000_6770000,9,0,0.003823034358582083,0.4669667243342232
sq0006_7950000_7960000,11,0,0.0008486361383012883,0.5202268683827087
sq0006_11600000_11610000,14,0,7.246616608760606e-05,0.5866817871284814
sq0006_12420000_12430000,6,0,0.03142434652178249,0.36563621206356534
sq0006_12450000_12460000,10,0,0.0018227351663913953,0.4946847389363815
sq0006_13920000_13930000,11,0,0.0008486361383012883,0.5202268683827087
sq0006_14930000_14940000,12,0,0.0003848878012656882,0.5439149940775636
sq0006_14960000_14970000,10,0,0.0018227351663913953,0.4946847389363815
sq0006_15530000_15540000,3,12,0.017072661093788417,0.3992521028047597
sq0006_18030000_18040000,6,0,0.03142434652178249,0.36563621206356534
sq0006_21120000_21130000,10,0,0.0018227351663913953,0.4946847389363815
sq0006_25610000_25620000,7,0,0.015826016947418548,0.4031478844100375
sq0006_26030000_26040000,10,0,0.0018227351663913953,0.4946847389363815
sq0006_26040000_26050000,12,0,0.0003848878012656882,0.5439149940775636
sq0006_27330000_27340000,12,0,0.0003848878012656882,0.5439149940775636
sq0006_27540000_27550000,7,0,0.015826016947418548,0.4031478844100375
sq0006_32400000_32410000,6,0,0.03142434652178249,0.36563621206356534
sq0006_33720000_33730000,7,0,0.015826016947418548,0.4031478844100375
sq0006_33770000_33780000,9,0,0.003823034358582083,0.4669667243342232
sq0006_36240000_36250000,12,0,0.0003848878012656882,0.5439149940775636
sq0007_420000_430000,6,0,0.03142434652178249,0.36563621206356534
sq0007_12900000_12910000,10,2,0.023868442164574327,0.38131429749199036
sq0007_13540000_13550000,10,0,0.0018227351663913953,0.4946847389363815
sq0007_15170000_15180000,7,0,0.015826016947418548,0.4031478844100375
sq0007_22790000_22800000,6,0,0.03142434652178249,0.36563621206356534
sq0007_25170000_25180000,9,0,0.003823034358582083,0.4669667243342232
sq0007_25230000_25240000,6,0,0.03142434652178249,0.36563621206356534
sq0007_25970000_25980000,7,0,0.015826016947418548,0.4031478844100375
sq0007_28940000_28950000,7,0,0.015826016947418548,0.4031478844100375
sq0008_29120000_29130000,7,0,0.015826016947418548,0.4031478844100375
sq0009_660000_670000,12,0,0.0003848878012656882,0.5439149940775636
sq0009_690000_700000,11,0,0.0008486361383012883,0.5202268683827087
sq0009_710000_720000,11,0,0.0008486361383012883,0.5202268683827087
sq0009_1080000_1090000,6,0,0.03142434652178249,0.36563621206356534
sq0009_9480000_9490000,12,0,0.0003848878012656882,0.5439149940775636
sq0009_9750000_9760000,12,0,0.0003848878012656882,0.5439149940775636
sq0009_10340000_10350000,7,0,0.015826016947418548,0.4031478844100375
sq0009_12410000_12420000,10,0,0.0018227351663913953,0.4946847389363815
sq0009_19290000_19300000,8,0,0.007850313216069148,0.4366480030862637
sq0009_21330000_21340000,2,9,0.04530039018826326,0.3432777406143739
sq0009_21840000_21850000,6,0,0.03142434652178249,0.36563621206356534
sq0009_22950000_22960000,10,0,0.0018227351663913953,0.4946847389363815
sq0009_23960000_23970000,11,0,0.0008486361383012883,0.5202268683827087
sq0009_23970000_23980000,13,0,0.00016962883216848132,0.5659999567638938
sq0009_32460000_32470000,6,0,0.03142434652178249,0.36563621206356534
sq0010_810000_820000,6,0,0.03142434652178249,0.36563621206356534
sq0010_820000_830000,14,0,7.246616608760606e-05,0.5866817871284814
sq0010_850000_860000,8,0,0.007850313216069148,0.4366480030862637
sq0010_890000_900000,15,0,2.9930622223033853e-05,0.6061230833151466
sq0010_910000_920000,14,0,7.246616608760606e-05,0.5866817871284814
sq0010_2070000_2080000,13,0,0.00016962883216848132,0.5659999567638938
sq0010_4150000_4160000,6,0,0.03142434652178249,0.36563621206356534
sq0010_4750000_4760000,6,0,0.03142434652178249,0.36563621206356534
sq0010_8440000_8450000,6,0,0.03142434652178249,0.36563621206356534
sq0010_12980000_12990000,6,0,0.03142434652178249,0.36563621206356534
sq0010_18000000_18010000,9,0,0.003823034358582083,0.4669667243342232
sq0010_22360000_22370000,9,0,0.003823034358582083,0.4669667243342232
sq0010_23120000_23130000,7,0,0.015826016947418548,0.4031478844100375
sq0010_23750000_23760000,7,0,0.015826016947418548,0.4031478844100375
sq0010_24050000_24060000,10,0,0.0018227351663913953,0.4946847389363815
sq0010_25340000_25350000,13,0,0.00016962883216848132,0.5659999567638938
sq0010_26270000_26280000,14,5,0.026403534576066767,0.3756655248343436
sq0010_27320000_27330000,7,0,0.015826016947418548,0.4031478844100375
sq0010_28360000_28370000,8,0,0.007850313216069148,0.4366480030862637
sq0010_28780000_28790000,15,0,2.9930622223033853e-05,0.6061230833151466
sq0010_36170000_36180000,6,0,0.03142434652178249,0.36563621206356534
sq0011_11720000_11730000,7,0,0.015826016947418548,0.4031478844100375
sq0011_15090000_15100000,13,0,0.00016962883216848132,0.5659999567638938
sq0011_15440000_15450000,6,0,0.03142434652178249,0.36563621206356534
sq0011_15610000_15620000,12,0,0.0003848878012656882,0.5439149940775636
sq0011_15630000_15640000,11,0,0.0008486361383012883,0.5202268683827087
sq0011_17310000_17320000,11,0,0.0008486361383012883,0.5202268683827087
sq0011_17320000_17330000,11,0,0.0008486361383012883,0.5202268683827087
sq0011_19220000_19230000,6,0,0.03142434652178249,0.36563621206356534
sq0011_21540000_21550000,4,12,0.04099706113290004,0.34956331860724565
sq0011_21600000_21610000,9,0,0.003823034358582083,0.4669667243342232
sq0011_23770000_23780000,4,13,0.021907985023006952,0.3860187525227046
sq0011_29590000_29600000,7,0,0.015826016947418548,0.4031478844100375
sq0011_31380000_31390000,7,0,0.015826016947418548,0.4031478844100375
sq0011_34810000_34820000,10,0,0.0018227351663913953,0.4946847389363815
sq0011_35700000_35710000,16,0,1.1919419594418901e-05,0.6244581706827199
sq0012_10180000_10190000,15,0,2.9930622223033853e-05,0.6061230833151466
sq0012_10800000_10810000,9,0,0.003823034358582083,0.4669667243342232
sq0012_16930000_16940000,7,0,0.015826016947418548,0.4031478844100375
sq0012_16940000_16950000,8,0,0.007850313216069148,0.4366480030862637
sq0012_16960000_16970000,9,0,0.003823034358582083,0.4669667243342232
sq0012_16980000_16990000,12,0,0.0003848878012656882,0.5439149940775636
sq0012_17290000_17300000,11,0,0.0008486361383012883,0.5202268683827087
sq0012_17400000_17410000,13,0,0.00016962883216848132,0.5659999567638938
sq0012_17440000_17450000,12,0,0.0003848878012656882,0.5439149940775636
sq0012_37630000_37640000,8,0,0.007850313216069148,0.4366480030862637
sq0012_40210000_40220000,7,0,0.015826016947418548,0.4031478844100375
sq0012_44580000_44590000,10,0,0.0018227351663913953,0.4946847389363815
sq0012_44860000_44870000,13,0,0.00016962883216848132,0.5659999567638938
sq0012_44970000_44980000,12,0,0.0003848878012656882,0.5439149940775636
sq0012_45070000_45080000,8,0,0.007850313216069148,0.4366480030862637
sq0012_45100000_45110000,7,0,0.015826016947418548,0.4031478844100375
sq0012_46740000_46750000,6,0,0.03142434652178249,0.36563621206356534
sq0013_15180000_15190000,8,0,0.007850313216069148,0.4366480030862637
sq0013_18340000_18350000,9,0,0.003823034358582083,0.4669667243342232
sq0013_19270000_19280000,7,0,0.015826016947418548,0.4031478844100375
sq0013_19790000_19800000,6,0,0.03142434652178249,0.36563621206356534
sq0013_20760000_20770000,7,0,0.015826016947418548,0.4031478844100375
sq0013_22400000_22410000,2,9,0.04530039018826326,0.3432777406143739
sq0014_380000_390000,10,0,0.0018227351663913953,0.4946847389363815
sq0014_1030000_1040000,9,0,0.003823034358582083,0.4669667243342232
sq0014_10310000_10320000,10,0,0.0018227351663913953,0.4946847389363815
sq0014_14290000_14300000,11,0,0.0008486361383012883,0.5202268683827087
sq0014_14500000_14510000,16,0,1.1919419594418901e-05,0.6244581706827199
sq0014_14960000_14970000,7,0,0.015826016947418548,0.4031478844100375
sq0014_15230000_15240000,10,0,0.0018227351663913953,0.4946847389363815
sq0014_15760000_15770000,8,0,0.007850313216069148,0.4366480030862637
sq0014_16070000_16080000,7,0,0.015826016947418548,0.4031478844100375
sq0014_18400000_18410000,13,0,0.00016962883216848132,0.5659999567638938
sq0014_21300000_21310000,8,0,0.007850313216069148,0.4366480030862637
sq0014_23170000_23180000,8,0,0.007850313216069148,0.4366480030862637
sq0014_23770000_23780000,8,0,0.007850313216069148,0.4366480030862637
sq0014_27360000_27370000,14,0,7.246616608760606e-05,0.5866817871284814
sq0014_28280000_28290000,12,0,0.0003848878012656882,0.5439149940775636
sq0014_29860000_29870000,8,0,0.007850313216069148,0.4366480030862637
sq0014_31800000_31810000,7,0,0.015826016947418548,0.4031478844100375
sq0014_31880000_31890000,7,0,0.015826016947418548,0.4031478844100375
sq0014_32250000_32260000,6,0,0.03142434652178249,0.36563621206356534
sq0015_480000_490000,8,0,0.007850313216069148,0.4366480030862637
sq0015_2110000_2120000,6,0,0.03142434652178249,0.36563621206356534
sq0015_2280000_2290000,12,0,0.0003848878012656882,0.5439149940775636
sq0015_3400000_3410000,12,0,0.0003848878012656882,0.5439149940775636
sq0015_3660000_3670000,13,0,0.00016962883216848132,0.5659999567638938
sq0015_4790000_4800000,10,0,0.0018227351663913953,0.4946847389363815
sq0015_19720000_19730000,10,0,0.0018227351663913953,0.4946847389363815
sq0015_21900000_21910000,6,0,0.03142434652178249,0.36563621206356534
sq0016_3920000_3930000,6,0,0.03142434652178249,0.36563621206356534
sq0016_3970000_3980000,6,0,0.03142434652178249,0.36563621206356534
sq0016_6300000_6310000,10,0,0.0018227351663913953,0.4946847389363815
sq0016_9680000_9690000,3,11,0.03262753307176914,0.3634218921558155
sq0016_13750000_13760000,8,0,0.007850313216069148,0.4366480030862637
sq0016_15470000_15480000,7,0,0.015826016947418548,0.4031478844100375
sq0016_18980000_18990000,11,0,0.0008486361383012883,0.5202268683827087
sq0016_20810000_20820000,12,0,0.0003848878012656882,0.5439149940775636
sq0016_22400000_22410000,7,0,0.015826016947418548,0.4031478844100375
sq0016_24260000_24270000,9,0,0.003823034358582083,0.4669667243342232
sq0016_26190000_26200000,11,0,0.0008486361383012883,0.5202268683827087
sq0016_27350000_27360000,2,12,0.006012395040861825,0.4483219332480461
sq0016_30200000_30210000,7,0,0.015826016947418548,0.4031478844100375
sq0017_4070000_4080000,9,0,0.003823034358582083,0.4669667243342232
sq0017_13730000_13740000,9,0,0.003823034358582083,0.4669667243342232
sq0017_15040000_15050000,8,0,0.007850313216069148,0.4366480030862637
sq0017_15050000_15060000,9,0,0.003823034358582083,0.4669667243342232
sq0017_15790000_15800000,9,0,0.003823034358582083,0.4669667243342232
sq0017_15840000_15850000,8,0,0.007850313216069148,0.4366480030862637
sq0017_16350000_16360000,11,0,0.0008486361383012883,0.5202268683827087
sq0017_16360000_16370000,15,0,2.9930622223033853e-05,0.6061230833151466
sq0018_550000_560000,10,2,0.023868442164574327,0.38131429749199036
sq0018_710000_720000,8,0,0.007850313216069148,0.4366480030862637
sq0018_880000_890000,3,13,0.008603154533928424,0.43251239819899145
sq0018_990000_1000000,9,0,0.003823034358582083,0.4669667243342232
sq0018_3440000_3450000,11,0,0.0008486361383012883,0.5202268683827087
sq0018_5790000_5800000,6,0,0.03142434652178249,0.36563621206356534
sq0018_5900000_5910000,8,0,0.007850313216069148,0.4366480030862637
sq0018_5910000_5920000,11,0,0.0008486361383012883,0.5202268683827087
sq0018_9380000_9390000,6,15,0.030362587204247712,0.36764612708745836
sq0018_12500000_12510000,6,0,0.03142434652178249,0.36563621206356534
sq0018_20670000_20680000,11,0,0.0008486361383012883,0.5202268683827087
sq0018_20700000_20710000,11,0,0.0008486361383012883,0.5202268683827087
sq0018_24290000_24300000,7,0,0.015826016947418548,0.4031478844100375
sq0018_24310000_24320000,8,0,0.007850313216069148,0.4366480030862637
sq0018_26430000_26440000,6,0,0.03142434652178249,0.36563621206356534
sq0018_28380000_28390000,11,0,0.0008486361383012883,0.5202268683827087
sq0019_8690000_8700000,6,0,0.03142434652178249,0.36563621206356534
sq0019_10850000_10860000,12,0,0.0003848878012656882,0.5439149940775636
sq0019_10900000_10910000,6,0,0.03142434652178249,0.36563621206356534
sq0019_10970000_10980000,6,0,0.03142434652178249,0.36563621206356534
sq0019_11690000_11700000,13,5,0.04860657067343558,0.3387537429470791
sq0019_15490000_15500000,9,0,0.003823034358582083,0.4669667243342232
sq0019_23250000_23260000,6,0,0.03142434652178249,0.36563621206356534
sq0019_23550000_23560000,9,0,0.003823034358582083,0.4669667243342232
sq0019_24460000_24470000,6,0,0.03142434652178249,0.36563621206356534
sq0019_26030000_26040000,10,0,0.0018227351663913953,0.4946847389363815
sq0019_26070000_26080000,9,0,0.003823034358582083,0.4669667243342232
sq0019_26110000_26120000,6,0,0.03142434652178249,0.36563621206356534
sq0020_4900000_4910000,8,0,0.007850313216069148,0.4366480030862637
sq0020_6830000_6840000,12,0,0.0003848878012656882,0.5439149940775636
sq0020_8060000_8070000,9,0,0.003823034358582083,0.4669667243342232
sq0020_11000000_11010000,10,0,0.0018227351663913953,0.4946847389363815
sq0020_11010000_11020000,12,0,0.0003848878012656882,0.5439149940775636
sq0020_12810000_12820000,6,0,0.03142434652178249,0.36563621206356534
sq0020_13190000_13200000,6,0,0.03142434652178249,0.36563621206356534
sq0020_20180000_20190000,13,0,0.00016962883216848132,0.5659999567638938
sq0020_27360000_27370000,10,0,0.0018227351663913953,0.4946847389363815
sq0021_3450000_3460000,6,0,0.03142434652178249,0.36563621206356534
sq0021_4090000_4100000,13,0,0.00016962883216848132,0.5659999567638938
sq0021_4100000_4110000,6,0,0.03142434652178249,0.36563621206356534
sq0021_5000000_5010000,7,0,0.015826016947418548,0.4031478844100375
sq0021_5160000_5170000,7,0,0.015826016947418548,0.4031478844100375
sq0021_5520000_5530000,7,0,0.015826016947418548,0.4031478844100375
sq0021_6880000_6890000,6,0,0.03142434652178249,0.36563621206356534
sq0021_7560000_7570000,6,0,0.03142434652178249,0.36563621206356534
sq0021_8480000_8490000,11,0,0.0008486361383012883,0.5202268683827087
sq0021_10540000_10550000,8,0,0.007850313216069148,0.4366480030862637
sq0021_17500000_17510000,9,0,0.003823034358582083,0.4669667243342232
sq0021_17700000_17710000,10,0,0.0018227351663913953,0.4946847389363815
sq0022_1750000_1760000,7,0,0.015826016947418548,0.4031478844100375
sq0022_6810000_6820000,7,0,0.015826016947418548,0.4031478844100375
sq0022_14720000_14730000,11,0,0.0008486361383012883,0.5202268683827087
sq0022_18540000_18550000,2,12,0.006012395040861825,0.4483219332480461
sq0022_19960000_19970000,1,10,0.007604591816022819,0.43806854255471483
sq0022_20310000_20320000,3,11,0.03262753307176914,0.3634218921558155
sq0022_21420000_21430000,6,0,0.03142434652178249,0.36563621206356534
sq0022_22370000_22380000,10,0,0.0018227351663913953,0.4946847389363815
sq0022_23170000_23180000,6,0,0.03142434652178249,0.36563621206356534
sq0022_28310000_28320000,2,10,0.023868442164574327,0.38131429749199036
sq0022_31250000_31260000,6,0,0.03142434652178249,0.36563621206356534
sq0022_31350000_31360000,6,0,0.03142434652178249,0.36563621206356534
sq0001_1530000_1540000,0,9,0.003823034358582083,0.4669667243342232
sq0001_2170000_2180000,0,9,0.003823034358582083,0.4669667243342232
sq0001_3050000_3060000,0,6,0.03142434652178249,0.36563621206356534
sq0001_3460000_3470000,0,9,0.003823034358582083,0.4669667243342232
sq0001_3730000_3740000,0,9,0.003823034358582083,0.4669667243342232
sq0001_3760000_3770000,0,9,0.003823034358582083,0.4669667243342232
sq0001_3770000_3780000,0,8,0.007850313216069148,0.4366480030862637
sq0001_3780000_3790000,0,8,0.007850313216069148,0.4366480030862637
sq0001_4330000_4340000,0,6,0.03142434652178249,0.36563621206356534
sq0001_4390000_4400000,0,8,0.007850313216069148,0.4366480030862637
sq0001_4420000_4430000,0,7,0.015826016947418548,0.4031478844100375
sq0001_5380000_5390000,0,14,7.246616608760606e-05,0.5866817871284814
sq0001_5690000_5700000,0,7,0.015826016947418548,0.4031478844100375
sq0001_6030000_6040000,0,7,0.015826016947418548,0.4031478844100375
sq0001_6290000_6300000,0,8,0.007850313216069148,0.4366480030862637
sq0001_6670000_6680000,0,8,0.007850313216069148,0.4366480030862637
sq0001_7050000_7060000,0,14,7.246616608760606e-05,0.5866817871284814
sq0001_7840000_7850000,0,7,0.015826016947418548,0.4031478844100375
sq0001_8560000_8570000,0,6,0.03142434652178249,0.36563621206356534
sq0001_8930000_8940000,0,10,0.0018227351663913953,0.4946847389363815
sq0001_8940000_8950000,0,6,0.03142434652178249,0.36563621206356534
sq0001_8950000_8960000,0,8,0.007850313216069148,0.4366480030862637
sq0001_9270000_9280000,0,7,0.015826016947418548,0.4031478844100375
sq0001_10920000_10930000,0,6,0.03142434652178249,0.36563621206356534
sq0001_11470000_11480000,0,7,0.015826016947418548,0.4031478844100375
sq0001_11480000_11490000,0,11,0.0008486361383012883,0.5202268683827087
sq0001_11570000_11580000,0,9,0.003823034358582083,0.4669667243342232
sq0001_11980000_11990000,0,8,0.007850313216069148,0.4366480030862637
sq0001_12500000_12510000,0,10,0.0018227351663913953,0.4946847389363815
sq0001_12730000_12740000,0,11,0.0008486361383012883,0.5202268683827087
sq0001_13210000_13220000,0,9,0.003823034358582083,0.4669667243342232
sq0001_16350000_16360000,0,11,0.0008486361383012883,0.5202268683827087
sq0001_16520000_16530000,0,7,0.015826016947418548,0.4031478844100375
sq0001_17270000_17280000,0,8,0.007850313216069148,0.4366480030862637
sq0001_18670000_18680000,0,12,0.0003848878012656882,0.5439149940775636
sq0001_18690000_18700000,0,8,0.007850313216069148,0.4366480030862637
sq0001_18840000_18850000,0,10,0.0018227351663913953,0.4946847389363815
sq0001_19000000_19010000,0,7,0.015826016947418548,0.4031478844100375
sq0001_19020000_19030000,0,8,0.007850313216069148,0.4366480030862637
sq0001_19580000_19590000,0,10,0.0018227351663913953,0.4946847389363815
sq0001_19700000_19710000,0,9,0.003823034358582083,0.4669667243342232
sq0001_20730000_20740000,0,11,0.0008486361383012883,0.5202268683827087
sq0001_21240000_21250000,0,8,0.007850313216069148,0.4366480030862637
sq0001_25260000_25270000,0,13,0.00016962883216848132,0.5659999567638938
sq0001_25270000_25280000,0,13,0.00016962883216848132,0.5659999567638938
sq0001_25370000_25380000,0,8,0.007850313216069148,0.4366480030862637
sq0001_25620000_25630000,0,7,0.015826016947418548,0.4031478844100375
sq0001_25630000_25640000,0,11,0.0008486361383012883,0.5202268683827087
sq0001_27090000_27100000,0,7,0.015826016947418548,0.4031478844100375
sq0001_27410000_27420000,0,11,0.0008486361383012883,0.5202268683827087
sq0001_29620000_29630000,0,11,0.0008486361383012883,0.5202268683827087
sq0001_31540000_31550000,0,10,0.0018227351663913953,0.4946847389363815
sq0001_33950000_33960000,0,12,0.0003848878012656882,0.5439149940775636
sq0001_33960000_33970000,0,11,0.0008486361383012883,0.5202268683827087
sq0001_34280000_34290000,0,13,0.00016962883216848132,0.5659999567638938
sq0002_1440000_1450000,0,6,0.03142434652178249,0.36563621206356534
sq0002_1560000_1570000,0,10,0.0018227351663913953,0.4946847389363815
sq0002_1570000_1580000,0,10,0.0018227351663913953,0.4946847389363815
sq0002_1580000_1590000,0,10,0.0018227351663913953,0.4946847389363815
sq0002_2180000_2190000,0,7,0.015826016947418548,0.4031478844100375
sq0002_3110000_3120000,0,10,0.0018227351663913953,0.4946847389363815
sq0002_3770000_3780000,0,10,0.0018227351663913953,0.4946847389363815
sq0002_3870000_3880000,0,10,0.0018227351663913953,0.4946847389363815
sq0002_4090000_4100000,0,6,0.03142434652178249,0.36563621206356534
sq0002_4100000_4110000,0,6,0.03142434652178249,0.36563621206356534
sq0002_5480000_5490000,0,12,0.0003848878012656882,0.5439149940775636
sq0002_5500000_5510000,0,11,0.0008486361383012883,0.5202268683827087
sq0002_5670000_5680000,0,8,0.007850313216069148,0.4366480030862637
sq0002_5700000_5710000,0,9,0.003823034358582083,0.4669667243342232
sq0002_6250000_6260000,0,7,0.015826016947418548,0.4031478844100375
sq0002_6260000_6270000,0,13,0.00016962883216848132,0.5659999567638938
sq0002_6800000_6810000,0,8,0.007850313216069148,0.4366480030862637
sq0002_6910000_6920000,0,9,0.003823034358582083,0.4669667243342232
sq0002_7140000_7150000,0,7,0.015826016947418548,0.4031478844100375
sq0002_7400000_7410000,0,7,0.015826016947418548,0.4031478844100375
sq0002_7910000_7920000,0,8,0.007850313216069148,0.4366480030862637
sq0002_8990000_9000000,0,11,0.0008486361383012883,0.5202268683827087
sq0002_9000000_9010000,0,8,0.007850313216069148,0.4366480030862637
sq0002_10580000_10590000,0,6,0.03142434652178249,0.36563621206356534
sq0002_12870000_12880000,0,8,0.007850313216069148,0.4366480030862637
sq0002_15500000_15510000,0,6,0.03142434652178249,0.36563621206356534
sq0002_16080000_16090000,0,8,0.007850313216069148,0.4366480030862637
sq0002_17130000_17140000,0,6,0.03142434652178249,0.36563621206356534
sq0002_17140000_17150000,0,6,0.03142434652178249,0.36563621206356534
sq0002_17350000_17360000,0,11,0.0008486361383012883,0.5202268683827087
sq0002_17590000_17600000,0,9,0.003823034358582083,0.4669667243342232
sq0002_19120000_19130000,0,7,0.015826016947418548,0.4031478844100375
sq0002_19490000_19500000,0,12,0.0003848878012656882,0.5439149940775636
sq0002_19530000_19540000,0,11,0.0008486361383012883,0.5202268683827087
sq0002_19700000_19710000,0,13,0.00016962883216848132,0.5659999567638938
sq0002_19730000_19740000,0,10,0.0018227351663913953,0.4946847389363815
sq0002_19870000_19880000,0,12,0.0003848878012656882,0.5439149940775636
sq0002_19950000_19960000,0,11,0.0008486361383012883,0.5202268683827087
sq0002_20320000_20330000,0,6,0.03142434652178249,0.36563621206356534
sq0002_20560000_20570000,0,10,0.0018227351663913953,0.4946847389363815
sq0002_20570000_20580000,0,9,0.003823034358582083,0.4669667243342232
sq0002_21270000_21280000,0,12,0.0003848878012656882,0.5439149940775636
